user_idx,size,created_date
28a73f43647a09c15281986abe9e35c053bfb99787bf165b30ac532102c3f82a,85B,2020-11-13T18:04:32.000+09:00
2911a8fa93b70b0d700249fc0707bf772594a0fd87d6dbe3e7d7bfedf77f1caa,75B,2020-11-18T13:51:45.000+09:00
29b5f10946484b64fb1e8e5ffbd0b349049f58cc05f0c39a7e63844921ebb289,80A,2019-12-03T03:11:41.000+09:00
2aa72f53465aecea16e0c53640b56e58e99b98e910cebdeba6e767c8efef2d0e,80C,2019-10-05T08:09:59.000+09:00
2abf782bf9e4ae93a14e40b91a05fe555b61ec8e07c232505a8b38edcf839a72,75C,2020-10-27T11:54:04.000+09:00
2b35ba8f8a5538dab8c02170381a06caeea606bd35e5e22225b42f33961ab7fd,75A,2020-01-26T23:27:50.000+09:00
2bb67bb4632529b2984176896aabbc9ae2b4e36241f4ca964ba6b6722cb40d7f,80B,2020-10-21T05:11:29.000+09:00
2c58861a37547cb62ea697806ea54e043e78d743889a23184811f9e324551ec0,75A,2020-03-14T17:20:42.000+09:00
2c67c5e2861f01f2199102e062e7930df7982d55b3434c47c85cd2b3af5fddcb,80C,2020-10-22T03:31:15.000+09:00
2ced93c82b570c5a0e0db98181fcddafedb6df5a12383c5ba0821555f25c297c,75C,2020-08-12T23:02:16.000+09:00
2d39eea4d1a1df5749c026f31ec9be2f5826d2f73d00f8f0ab854971814283ed,70C,2020-01-17T20:23:19.000+09:00
2e1a3c850e9ddbd74efe55432c6c79dc4dc29084e2560b19036c215f0cb03b17,70A,2020-01-17T23:09:59.000+09:00
2e3e52813a7c97b4adad9209196b89eca42e7321d49701d87e17d3b3446d8367,70A,2020-10-20T05:05:04.000+09:00
2e7b229a9b3f694eb84cc6243540f1fe6e75cabe5f463d9691e9c372fdb1fe68,80B,2020-05-26T14:17:16.000+09:00
2e9d7feb7c4f9d20cfce0c977918ff1d2c7379fe6c475035e9483afe2394323d,65B,2020-02-08T18:09:34.000+09:00
30dab49f3a7c874401b637c18175cd209d58e809d2e2d468a67a312aa5d80f34,75B,2020-10-20T05:05:07.000+09:00
310269c25d4b412c66227af076ad9fc5e92191de11456de40e62bbc6c558d4cd,85A,2020-11-10T23:05:51.000+09:00
312045319a036c98bd05aa79c0a16cc552bb5bf84bfb378eb6726f68c53f07b3,75C,2020-10-20T05:05:06.000+09:00
314caf05e58b2f162c7b84fde4359b6f95e11d60e64b5fcfcb8d531047be0754,65C,2020-10-21T05:11:29.000+09:00
315179fe1448bd8e85e2891e4b9a7ca58169602af3af47fe32bfce71d9626cb7,75B,2020-04-24T13:14:27.000+09:00
315dd87a29a462b8876c0e23f33f02bcac8735e4d2f36f86f43741a7dc54d6f0,80A,2020-10-21T05:11:29.000+09:00
31654d4f1a03036f615111383ec8ed1a129e295bafcfa4d00fd4ba00e591984a,75C,2020-10-21T19:23:57.000+09:00
3173b28c580be48d7f6d17839465e34917b472cac31c4e50895f5a7a6547454e,70A,2019-12-05T21:41:26.000+09:00
317ea4e33dc72f4a58238727db38a63244b72a0791e9de8630adf277161701ec,75B,2020-11-20T13:33:37.000+09:00
31fffd2e3ed5926c99261bf8efb35af896aa01712373b2d9cc2b90a82db789e0,75C,2020-10-05T20:22:06.000+09:00
32b959a6ce40684f54748738aef8628aa3c9d93ae23fd076c91c928b5c3c5d03,80B,2020-10-05T00:27:35.000+09:00
3327b72a39d3fc7879d52e2c8ff23df52656ddf760b7d4adca177e5bc3a58afb,75A,2020-10-21T05:11:29.000+09:00
3363f6cf8c36128a859ece002bcb881363f1432ea7ee9eacaf210543b2f22a32,75B,2020-11-15T01:07:37.000+09:00
34316a46daabada8a74ea47b2384e9eed5b3b8493ee0acef1e0ee9d2353a5cef,80B,2020-11-20T11:35:59.000+09:00
34c2a37a6a333aa40d1f82bb31d7c84dce730488648904b63e98d9406099e1b5,70B,2019-09-24T00:58:38.000+09:00
34dcecf8538a0a8abbb729792f432add241b5fc8b5515fc042261294f45ac39c,80B,2020-05-05T11:56:50.000+09:00
34f64ebba57d068e823dba410a9f3893be8fd4a8c356784e0f6c3a1876cdd92c,75C,2020-09-28T13:56:37.000+09:00
3509131464d92ab40b39077c3e195380e5df7ad0522168881ad612c878440956,75B,2020-02-02T23:10:49.000+09:00
3531525775c6ca9e5df60cc29f8fa80c66db2e49b9b445370d6afe8f4e25ea66,80A,2020-10-20T05:05:05.000+09:00
35e304df9c08ff18ba9d47804fc4e8b06578b91106cab8be9b1b4c9c8dcade0b,80B,2020-10-20T05:05:05.000+09:00
3646e29fb037b7e63f6dbde04da7cd94f105913195bd3107b503c1c23c7ce243,65B,2020-10-10T20:53:22.000+09:00
